data_elezione;comune;provincia;elettori;votanti;affluenza_pct;bianche;non_valide;candidato;eletto;voti_candidato;pct_candidato;lista;voti_lista;pct_lista;seggi
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;GUALTIERI ROBERTO;True;299976;27.03;PARTITO DEMOCRATICO;166194;16.38;18
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;GUALTIERI ROBERTO;True;299976;27.03;LISTA CIVICA GUALTIERI SINDACO;54779;5.4;5
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;GUALTIERI ROBERTO;True;299976;27.03;SINISTRA CIVICA ECOLOGISTA;20501;2.02;2
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;GUALTIERI ROBERTO;True;299976;27.03;ROMA FUTURA;20028;1.97;2
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;GUALTIERI ROBERTO;True;299976;27.03;DEMOS DEMOCRAZIA SOLIDALE;9610;0.95;1
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;GUALTIERI ROBERTO;True;299976;27.03;EUROPA VERDE;9354;0.92;1
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;GUALTIERI ROBERTO;True;299976;27.03;PARTITO SOCIALISTA ITALIANO;2841;0.28;
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;GUALTIERI ROBERTO;True;299976;27.03;Totale coalizione;283307;27.92;29
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;MICHETTI ENRICO;True;334548;30.14;FRATELLI D'ITALIA;176809;17.42;5
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;MICHETTI ENRICO;True;334548;30.14;LEGA SALVINI PREMIER;60183;5.93;2
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;MICHETTI ENRICO;True;334548;30.14;FORZA ITALIA-UNIONE DI CENTRO;36444;3.59;1
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;MICHETTI ENRICO;True;334548;30.14;LISTA CIVICA MICHETTI SINDACO;25048;2.47;
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;MICHETTI ENRICO;True;334548;30.14;RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA;18659;1.84;
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;MICHETTI ENRICO;True;334548;30.14;PARTITO LIBERALE EUROPEO;1371;0.14;
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;MICHETTI ENRICO;True;334548;30.14;Totale coalizione;318514;31.39;8
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;CALENDA CARLO;True;219878;19.81;CALENDA SINDACO;193477;19.06;4
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;RAGGI VIRGINIA;True;211936;19.09;MOVIMENTO 5 STELLE;111668;11.0;3
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;RAGGI VIRGINIA;True;211936;19.09;LISTA CIVICA VIRGINIA RAGGI;43581;4.29;1
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;RAGGI VIRGINIA;True;211936;19.09;CULTURA E INNOVAZIONE ROMA ECOLOGISTA;10328;1.02;
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;RAGGI VIRGINIA;True;211936;19.09;SPORTIVI PER ROMA;6855;0.68;
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;RAGGI VIRGINIA;True;211936;19.09;CON LE DONNE PER ROMA;4895;0.48;
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;RAGGI VIRGINIA;True;211936;19.09;ROMA DECIDE;2255;0.22;
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;RAGGI VIRGINIA;True;211936;19.09;Totale coalizione;179582;17.7;4
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;TEODORI LUCA;False;7139;0.64;3V VERITA' LIBERTA';6512;0.64;
03/10/2021;ROMA;ROMA;2359248;1145268;;12389;35356;CANITANO ELISABETTA DETTA LISA;False;6615;0.6;POTERE AL POPOLO!;6090;0.6;
